,etag,id,kind,snippet.categoryId,snippet.channelId,snippet.channelTitle,snippet.defaultAudioLanguage,snippet.description,snippet.liveBroadcastContent,snippet.localized.description,snippet.localized.title,snippet.publishedAt,snippet.tags,snippet.thumbnails.default.height,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.high.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.maxres.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.medium.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.standard.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.title,statistics.commentCount,statistics.dislikeCount,statistics.favoriteCount,statistics.likeCount,statistics.viewCount
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/ywWGRNi8KNjX8SrM2QgL9QTHaAk""",im5_Mr7Rrjs,youtube#video,22,UC2_B_am3fuHmqBsduTE503A,Barry john,,"carp fishing st albans, willow lake  24 lb carp, kira well done",none,"carp fishing st albans, willow lake  24 lb carp, kira well done",willows lake st albans,2013-06-15T22:50:46.000Z,"[carp fishing, carp, big carp, lb carp, british carp, st albans, willows lake, big fish, fresh water fish, common carp]",90,https://i.ytimg.com/vi/im5_Mr7Rrjs/default.jpg,120,360,https://i.ytimg.com/vi/im5_Mr7Rrjs/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/im5_Mr7Rrjs/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/im5_Mr7Rrjs/sddefault.jpg,640.0,willows lake st albans,12,2,0,6,4644
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/ae9EEWN6ZDVwACAUOpcOBIj05Rk""",llkJm0a-F18,youtube#video,25,UCoNhCZJsackYDAJsHeW5ZTg,鑫傳視訊廣告,,成立已經12年的埔里鎮宏仁國中女子拔河隊，每天辛苦練習之下，第一次拿到教育部所舉辦的全國室外拔河比賽440公斤以及480公斤二個項目的冠軍，讓這些女孩子感覺一切的辛苦總算有代價了,none,成立已經12年的埔里鎮宏仁國中女子拔河隊，每天辛苦練習之下，第一次拿到教育部所舉辦的全國室外拔河比賽440公斤以及480公斤二個項目的冠軍，讓這些女孩子感覺一切的辛苦總算有代價了,南投新聞-埔里宏仁女子拔河首奪雙冠1107,2011-11-07T10:40:12.000Z,[女子拔河],90,https://i.ytimg.com/vi/llkJm0a-F18/default.jpg,120,360,https://i.ytimg.com/vi/llkJm0a-F18/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/llkJm0a-F18/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/llkJm0a-F18/sddefault.jpg,640.0,南投新聞-埔里宏仁女子拔河首奪雙冠1107,1,0,0,6,1995
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/zGylfB5suAyh40DPljFhNj9vV80""",9JQ9gIPQy1U,youtube#video,27,UC2VKCoZND5PENxAXLl8r6Jw,christianvib,,"¡Que tal todos! En este video les muestro paso por paso cómo tocar la canción ""Crimen"" de Gustavo Cerati en Guitarra Acústica. ¡Espero la disfruten y la puedan aprender! Un saludo... Christianvib

LETRA Y ACORDES http://www.christianvib.com/crimen/

SUSCRÍBETE: http://bit.ly/161Gww7

FACEBOOK  https://www.facebook.com/ChristianvibOficial",none,"¡Que tal todos! En este video les muestro paso por paso cómo tocar la canción ""Crimen"" de Gustavo Cerati en Guitarra Acústica. ¡Espero la disfruten y la puedan aprender! Un saludo... Christianvib

LETRA Y ACORDES http://www.christianvib.com/crimen/

SUSCRÍBETE: http://bit.ly/161Gww7

FACEBOOK  https://www.facebook.com/ChristianvibOficial","Cómo tocar ""Crimen"" de Gustavo Cerati en Guitarra Acústica (HD) Tutorial - Christianvib",2013-09-20T03:19:37.000Z,"[canciones guitarra, guitarra, acordes, tutorial, como tocar crimen en guitarra, clases, tutoriales guitarra, curso de guitarra, christianvib, acustica, principiantes, leccion, tocar, Gustavo Cerati (Musical Artist), Crimen (Musical Recording), Acoustic Guitar (Musical Instrument), guitarra acustica, como tocar crimen, Music Education (Field Of Study), clases de guitarra, leccion de guitarra, tutoriales christianvib]",90,https://i.ytimg.com/vi/9JQ9gIPQy1U/default.jpg,120,360,https://i.ytimg.com/vi/9JQ9gIPQy1U/hqdefault.jpg,480,720.0,https://i.ytimg.com/vi/9JQ9gIPQy1U/maxresdefault.jpg,1280.0,180,https://i.ytimg.com/vi/9JQ9gIPQy1U/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/9JQ9gIPQy1U/sddefault.jpg,640.0,"Cómo tocar ""Crimen"" de Gustavo Cerati en Guitarra Acústica (HD) Tutorial - Christianvib",257,59,0,4205,424753
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/nyoKh96L1scGgbtczF70oQnHTsg""",vbcTVu4vuzk,youtube#video,2,UC87kLGyPacTaHKwLXyQIF3A,Cars 3204,,"2016 Cadillac CTS-V

Cadillac introduced the 2016 CTS-V, the most powerful product in the brand's 112-year history and the newest entry in the elite class of the world's highest-performing luxury cars.

Launching in late summer with 640 horsepower (477 kW), 630 lb-ft of torque (855 Nm) and a top speed of 200 mph, the new CTS-V reaches higher than its predecessors, leading Cadillac's product-driven expansion and elevation. It is the third generation of the acclaimed luxury sports sedan that launched the elite V-Series a decade ago - and redefined Cadillac for a new generation of enthusiasts. http://autoblackzone.com/

http://www.autoblackzone.com/
http://www.luweh.com/

""V-Series represents the very best of the Cadillac brand - the pinnacle of our design and technical capabilities,"" said Johan de Nysschen, Cadillac president. ""The new CTS-V is the most compelling example of Cadillac's product substance and brand trajectory. The new CTS-V soars into the stratosphere of the most exhilarating luxury cars.""

Comprehensive updates make the new CTS-V essentially two cars in one: a luxury sedan with sophisticated road manners and a track-capable sports car straight from the factory. It also introduces a new supercharged 6.2L V-8 engine backed by Cadillac's paddle-shift eight-speed automatic transmission, featuring launch control and Performance Algorithm Shifting.

With more horsepower and torque than the Mercedes-Benz 5.5L biturbo V-8 and the BMW M-series 4.4L TwinPower (twin-turbo) V-8, the new CTS-V is capable of 0-60 performance in 3.7 seconds.
http://luweh.com/
Track-honed design, chassis and suspension elements complement the supercharged powertrain and elevate CTS-V's capability, performance and driver control to new thresholds, while enabling track driving without modifications or special procedures. Key performance technologies include:

Standard carbon fiber hood and available carbon fiber vent, front splitter, rear spoiler and rear diffuser for greater aerodynamic performance
Brembo high-performance brake system developed to provide durability, consistency and the capability for track-day performance straight from the factory
Third-generation Magnetic Ride Control delivering 40-percent faster damping response
Integrated chassis controls that provide balanced performance for touring and the track, including competition-spec Performance Traction Management
Structural stiffness increased by 25 percent for improved ride and superior handling
Driver-selectable modes electronically calibrate performance variables for touring, sport and track driving conditions
Michelin Pilot Super Sport tires with tri-compound technology offering excellent grip with extended wear
An interior with performance-oriented, sueded microfiber accents and matte-finish carbon fiber trim and available RECARO high-performance seats for spirited driving
Advanced safety and parking technologies, including a front curb-view camera system that provides a visual cue of curbs to protect the front splitter; automatic parking assist to find and steer into parallel or perpendicular parking spots; side blind zone alert, forward collision alert, lane keep assist and rear cross traffic alert.+

More powerful supercharged V-8 engine

The power behind the new CTS-V's capability is an all-new, more powerful 6.2L supercharged V-8 engine that makes more power more efficiently than the previous Cadillac supercharged engine. It employs a more-efficient, more-compact 1.7L supercharger and matches it with direct injection and Active Fuel Management (cylinder deactivation).

The supercharger's rotors are smaller in diameter than the previous supercharged engine, allowing higher maximum rpm that enables power-enhancing boost to be generated earlier in the rpm band. That boost is achieved more efficiently via a more direct discharge port that creates less turbulence, reducing heat and speeding airflow into the engine.

The Cadillac supercharged engine also has several unique features designed to support its high output and the greater cylinder pressures created by forced induction, including Rotocast A356T6 aluminum cylinder heads that are stronger and handle heat better than conventional aluminum heads, and lightweight titanium intake valves.

The CTS-V's complementing eight-speed automatic is tuned for world-class shift-response times. Smaller steps between gears keep the engine within the sweet spot of the rpm band, making the most of the output of the supercharged engine for exhilarating performance and greater efficiency.

The new 8L90 transmission offers full manual control via steering wheel paddles, and Performance Algorithm Shifting to deliver shift performance that rivals the dual-clutch/semi-automatic transmissions found in many luxury performance sedans - but with the smoothness and refinement that come with a conventional automatic fitted with a torque converter.",none,"2016 Cadillac CTS-V

Cadillac introduced the 2016 CTS-V, the most powerful product in the brand's 112-year history and the newest entry in the elite class of the world's highest-performing luxury cars.

Launching in late summer with 640 horsepower (477 kW), 630 lb-ft of torque (855 Nm) and a top speed of 200 mph, the new CTS-V reaches higher than its predecessors, leading Cadillac's product-driven expansion and elevation. It is the third generation of the acclaimed luxury sports sedan that launched the elite V-Series a decade ago - and redefined Cadillac for a new generation of enthusiasts. http://autoblackzone.com/

http://www.autoblackzone.com/
http://www.luweh.com/

""V-Series represents the very best of the Cadillac brand - the pinnacle of our design and technical capabilities,"" said Johan de Nysschen, Cadillac president. ""The new CTS-V is the most compelling example of Cadillac's product substance and brand trajectory. The new CTS-V soars into the stratosphere of the most exhilarating luxury cars.""

Comprehensive updates make the new CTS-V essentially two cars in one: a luxury sedan with sophisticated road manners and a track-capable sports car straight from the factory. It also introduces a new supercharged 6.2L V-8 engine backed by Cadillac's paddle-shift eight-speed automatic transmission, featuring launch control and Performance Algorithm Shifting.

With more horsepower and torque than the Mercedes-Benz 5.5L biturbo V-8 and the BMW M-series 4.4L TwinPower (twin-turbo) V-8, the new CTS-V is capable of 0-60 performance in 3.7 seconds.
http://luweh.com/
Track-honed design, chassis and suspension elements complement the supercharged powertrain and elevate CTS-V's capability, performance and driver control to new thresholds, while enabling track driving without modifications or special procedures. Key performance technologies include:

Standard carbon fiber hood and available carbon fiber vent, front splitter, rear spoiler and rear diffuser for greater aerodynamic performance
Brembo high-performance brake system developed to provide durability, consistency and the capability for track-day performance straight from the factory
Third-generation Magnetic Ride Control delivering 40-percent faster damping response
Integrated chassis controls that provide balanced performance for touring and the track, including competition-spec Performance Traction Management
Structural stiffness increased by 25 percent for improved ride and superior handling
Driver-selectable modes electronically calibrate performance variables for touring, sport and track driving conditions
Michelin Pilot Super Sport tires with tri-compound technology offering excellent grip with extended wear
An interior with performance-oriented, sueded microfiber accents and matte-finish carbon fiber trim and available RECARO high-performance seats for spirited driving
Advanced safety and parking technologies, including a front curb-view camera system that provides a visual cue of curbs to protect the front splitter; automatic parking assist to find and steer into parallel or perpendicular parking spots; side blind zone alert, forward collision alert, lane keep assist and rear cross traffic alert.+

More powerful supercharged V-8 engine

The power behind the new CTS-V's capability is an all-new, more powerful 6.2L supercharged V-8 engine that makes more power more efficiently than the previous Cadillac supercharged engine. It employs a more-efficient, more-compact 1.7L supercharger and matches it with direct injection and Active Fuel Management (cylinder deactivation).

The supercharger's rotors are smaller in diameter than the previous supercharged engine, allowing higher maximum rpm that enables power-enhancing boost to be generated earlier in the rpm band. That boost is achieved more efficiently via a more direct discharge port that creates less turbulence, reducing heat and speeding airflow into the engine.

The Cadillac supercharged engine also has several unique features designed to support its high output and the greater cylinder pressures created by forced induction, including Rotocast A356T6 aluminum cylinder heads that are stronger and handle heat better than conventional aluminum heads, and lightweight titanium intake valves.

The CTS-V's complementing eight-speed automatic is tuned for world-class shift-response times. Smaller steps between gears keep the engine within the sweet spot of the rpm band, making the most of the output of the supercharged engine for exhilarating performance and greater efficiency.

The new 8L90 transmission offers full manual control via steering wheel paddles, and Performance Algorithm Shifting to deliver shift performance that rivals the dual-clutch/semi-automatic transmissions found in many luxury performance sedans - but with the smoothness and refinement that come with a conventional automatic fitted with a torque converter.",2016 Cadillac CTS V 640 HP Top Speed of 200 mph,2014-12-22T12:19:38.000Z,"[2016 cadillac, 2016 cadillac cts-v, 2016 cadillac ctsv, 2016 cadillac sedan, cadalac, cadillac cts horsepower, cadillac cts v horsepower, cadillac cts v performance specs, cadillac cts v specs, cadillac cts-v, cadillac v, cadillac v series, cts cadillac v, cts coupe, cts v cadillac, cts v cadillac specs, cts v coupe, cts v horsepower, cts v specs, ctsv, yt:stretch=16:9, insurance]",90,https://i.ytimg.com/vi/vbcTVu4vuzk/default.jpg,120,360,https://i.ytimg.com/vi/vbcTVu4vuzk/hqdefault.jpg,480,720.0,https://i.ytimg.com/vi/vbcTVu4vuzk/maxresdefault.jpg,1280.0,180,https://i.ytimg.com/vi/vbcTVu4vuzk/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/vbcTVu4vuzk/sddefault.jpg,640.0,2016 Cadillac CTS V 640 HP Top Speed of 200 mph,47,199,0,266,115532
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/6bYSPXlPb0d5TlwIRvmEjHglDe8""",BrRPWxxt9so,youtube#video,2,UCSSWcbDP8gZ1V7a7jP_iygw,tjdallastexas,,E-Glide Electric Skateboard,none,E-Glide Electric Skateboard,eglide - NEW,2008-07-11T17:23:13.000Z,"[e-glide, electric, skateboard]",90,https://i.ytimg.com/vi/BrRPWxxt9so/default.jpg,120,360,https://i.ytimg.com/vi/BrRPWxxt9so/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/BrRPWxxt9so/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/BrRPWxxt9so/sddefault.jpg,640.0,eglide - NEW,4,0,0,4,3731
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/3dZlVhIczYmiEUvgBr6f5Y0FMcw""",eMcrQwoluNM,youtube#video,17,UCp-l9JklG0kizcb8KAKGidA,Kaylor2K7,,"saints, saints and more saints",none,"saints, saints and more saints",St Johnstone fc,2008-02-29T17:25:30.000Z,"[st, johnstone]",90,https://i.ytimg.com/vi/eMcrQwoluNM/default.jpg,120,360,https://i.ytimg.com/vi/eMcrQwoluNM/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/eMcrQwoluNM/mqdefault.jpg,320,,,,St Johnstone fc,0,0,0,5,1841
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/CtRHUxeRku54YZMo-aCifeZvHE4""",29qVDYk6x6M,youtube#video,17,UCWhKfSkyDpbqo5iNfQ-ICmw,Lorena Lescano,,"Un pequeño anticipo de lo que fue la entrevista con Martín Cauteruccio. Un Ping Pong de preguntas y respuestas donde habla, entre otras cosas, de sus gustos futbolísticos así como también personales.",none,"Un pequeño anticipo de lo que fue la entrevista con Martín Cauteruccio. Un Ping Pong de preguntas y respuestas donde habla, entre otras cosas, de sus gustos futbolísticos así como también personales.",Ping Pong a Martín Cauteruccio - por Lorena Lescano,2012-09-15T04:48:26.000Z,"[Ping, Pong, Martín Cauteruccio, Entrevista]",90,https://i.ytimg.com/vi/29qVDYk6x6M/default.jpg,120,360,https://i.ytimg.com/vi/29qVDYk6x6M/hqdefault.jpg,480,720.0,https://i.ytimg.com/vi/29qVDYk6x6M/maxresdefault.jpg,1280.0,180,https://i.ytimg.com/vi/29qVDYk6x6M/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/29qVDYk6x6M/sddefault.jpg,640.0,Ping Pong a Martín Cauteruccio - por Lorena Lescano,0,0,0,6,1264
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/_D4Y49R4Mlu8xu99KFYGt3Dp8yQ""",8fnhN_Jt1Q8,youtube#video,26,UCcDjedx7uIP4IoW7A3847kw,vanbytherivernator,,This is the process of converting my single car garage into a home theater.,none,This is the process of converting my single car garage into a home theater.,My Home Theater,2008-09-26T23:48:34.000Z,"[home, theater, hometheater, epson, 1080, ub, big, screen, movie, hd, projector]",90,https://i.ytimg.com/vi/8fnhN_Jt1Q8/default.jpg,120,360,https://i.ytimg.com/vi/8fnhN_Jt1Q8/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/8fnhN_Jt1Q8/mqdefault.jpg,320,,,,My Home Theater,48,7,0,92,39630
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/IfwqcLGwiWPqXLiAQdCSGYoErlE""",MDyvgpggUK8,youtube#video,26,UCplT68g9TA8EAOaQwGlrzuA,Kareniña Vargas,,"_______-----------------ABREME!!!!-------------------________
Hola guapisimas!!! Estoy feliz porque por fin pude grabar como pongo las uñas acrílicas, no soy una profesional y no digo que esta sea la forma correcta de aplicarlas, simplemente asi lo hago yo.

El pasado 28 de febrero fué el cumpleaños No. 18 de mi hermanita y me pidió que le regalara uñas (ademas de llevarla a un concierto de Camila jejejeje) y bueno este es el diseño que se nos ocurrió.

En verdad espero que les guste el resultado tanto como a mi y en verdad muchisimas gracias por todo su apoyo!! Les mando un abrazote a todas.

1) La canción como les dije en el video es HOTEL CALIFORNIA interpretada por The Killers del Album Rhythms del Mundo (Adoro este album!!!)

2) La imagen que aparece de fondo NO ES MIA la encontré en la pagina www.fabricsandpapers.com

3) No hago propaganda de ningun tipo a las marcas que uso, todos los productos que aparecen en el video los compré yo y no recibo nada a cambio de que aparezcan en mis videos.",none,"_______-----------------ABREME!!!!-------------------________
Hola guapisimas!!! Estoy feliz porque por fin pude grabar como pongo las uñas acrílicas, no soy una profesional y no digo que esta sea la forma correcta de aplicarlas, simplemente asi lo hago yo.

El pasado 28 de febrero fué el cumpleaños No. 18 de mi hermanita y me pidió que le regalara uñas (ademas de llevarla a un concierto de Camila jejejeje) y bueno este es el diseño que se nos ocurrió.

En verdad espero que les guste el resultado tanto como a mi y en verdad muchisimas gracias por todo su apoyo!! Les mando un abrazote a todas.

1) La canción como les dije en el video es HOTEL CALIFORNIA interpretada por The Killers del Album Rhythms del Mundo (Adoro este album!!!)

2) La imagen que aparece de fondo NO ES MIA la encontré en la pagina www.fabricsandpapers.com

3) No hago propaganda de ningun tipo a las marcas que uso, todos los productos que aparecen en el video los compré yo y no recibo nada a cambio de que aparezcan en mis videos.",Pinky Leopard-Uñas de Acrílico (Español),2011-02-03T03:17:09.000Z,"[Nail Art, Uñas, Acrílico, Rosa, Leopardo]",90,https://i.ytimg.com/vi/MDyvgpggUK8/default.jpg,120,360,https://i.ytimg.com/vi/MDyvgpggUK8/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/MDyvgpggUK8/mqdefault.jpg,320,,,,Pinky Leopard-Uñas de Acrílico (Español),16,5,0,56,11585
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/1Wu6qz6lpwFP1j8ssELuC2RcdGM""",V5FCJz0EvkE,youtube#video,10,UCSGpTQ8NgRkZooul-QboHNw,J A,,"Pour Some Sugar on Me live in Tampa, FL 08.24.07",none,"Pour Some Sugar on Me live in Tampa, FL 08.24.07",Def Leppard,2007-08-26T00:57:51.000Z,"[def, leppard, tampa, florida, pour, some, sugar, on, me, 2007]",90,https://i.ytimg.com/vi/V5FCJz0EvkE/default.jpg,120,360,https://i.ytimg.com/vi/V5FCJz0EvkE/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/V5FCJz0EvkE/mqdefault.jpg,320,,,,Def Leppard,0,1,0,5,1380
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/vyu9JyeTChnK4xdRUTuihU5Qg-4""",82yQ04Rg1ck,youtube#video,20,UCHjJlF3Jjffc3tpA8RiTW5w,GrimBeast8442,,Enjoy,none,Enjoy,Gran Turismo 6 - Race with the Red Bull X2014 Junior,2013-12-25T05:50:58.000Z,"[Motorsport, Nissan, Tuning, Skyline, Need Speed, Drift, Gran Turismo 6, 240sx, 350z, Wanted, Gran Turismo (Video Game Series), Racing, ps3, Race, Need, Gt4, Cars, Supra, Red Bull (Ingredient), Silvia, Rx7, YouTube, Bmw, Drifting, Mazda, Carbon, Bull, Street, S13, Nfs, Undercover, Turbo, Underground, Red]",90,https://i.ytimg.com/vi/82yQ04Rg1ck/default.jpg,120,360,https://i.ytimg.com/vi/82yQ04Rg1ck/hqdefault.jpg,480,720.0,https://i.ytimg.com/vi/82yQ04Rg1ck/maxresdefault.jpg,1280.0,180,https://i.ytimg.com/vi/82yQ04Rg1ck/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/82yQ04Rg1ck/sddefault.jpg,640.0,Gran Turismo 6 - Race with the Red Bull X2014 Junior,0,1,0,8,2662
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/W-7eEvusEDgAlr54X32no-aGUAA""",8tINYCG5pN0,youtube#video,28,UC1ADuOzaDrPDUj98QfD1Oqg,iStylelv,,"Just5 piedāvā sava ""bestsellera"" Spacer turpinājumu - Just5 Spacer 2

Tālruņa apskats - http://www.istyle.lv/2014/09/30/apskats-just5-spacer-2/",none,"Just5 piedāvā sava ""bestsellera"" Spacer turpinājumu - Just5 Spacer 2

Tālruņa apskats - http://www.istyle.lv/2014/09/30/apskats-just5-spacer-2/",Just5 Spacer 2 unboxing,2014-09-23T20:09:20.000Z,"[Just5, Spacer2, Just5 Spacer 2, Spacer 2, unboxing]",90,https://i.ytimg.com/vi/8tINYCG5pN0/default.jpg,120,360,https://i.ytimg.com/vi/8tINYCG5pN0/hqdefault.jpg,480,720.0,https://i.ytimg.com/vi/8tINYCG5pN0/maxresdefault.jpg,1280.0,180,https://i.ytimg.com/vi/8tINYCG5pN0/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/8tINYCG5pN0/sddefault.jpg,640.0,Just5 Spacer 2 unboxing,22,4,0,40,18252
0,"""I_8xdZu766_FSaexEaDXTIfEWc0/l7j_PXO_9osCfDAdv2jb0RFNDNM""",4orvzxefCls,youtube#video,22,UCHHGX6n-7T01PV9P2zquXvA,데스런 홈트레이닝 DeSLun workout,en,"[데스런 여자 홈트레이닝] 8가지 베이직 동작설명
(스쿼트,런지,데드리프트,벤트오버로우,숄더프레스,푸쉬업,크런치,레그레이즈)


건강한 다이어트를 위한 트레이너 조성준입니다. 
데스런은 여러분의 탄탄하고 섹시한 바디를 위해 
다양하고 재미있는 홈워크아웃을 준비합니다.

블로그에 오시면 더 많은 정보를 구독하실 수 있습니다. 

+블로그 : http://blog.naver.com/deslun 
+홈페이지 : http://www.deslunfitnesscafe.com
카테고리
인물/블로그
라이선스
표준 YouTube 라이선스",none,"[데스런 여자 홈트레이닝] 8가지 베이직 동작설명
(스쿼트,런지,데드리프트,벤트오버로우,숄더프레스,푸쉬업,크런치,레그레이즈)


건강한 다이어트를 위한 트레이너 조성준입니다. 
데스런은 여러분의 탄탄하고 섹시한 바디를 위해 
다양하고 재미있는 홈워크아웃을 준비합니다.

블로그에 오시면 더 많은 정보를 구독하실 수 있습니다. 

+블로그 : http://blog.naver.com/deslun 
+홈페이지 : http://www.deslunfitnesscafe.com
카테고리
인물/블로그
라이선스
표준 YouTube 라이선스","[데스런 여자 홈트레이닝] 8가지 베이직 동작설명(스쿼트,런지,데드리프트,벤트오버로우,숄더프레스,푸쉬업,크런치,레그레이즈)",2015-06-19T12:23:33.000Z,"[스쿼트, 런지, 데드리프트, 벤트오버로우, 숄더프레스, 푸쉬업, 크런치, 레그레이즈, 데스런 여자 홈트레이닝, 데스런 베이직]",90,https://i.ytimg.com/vi/4orvzxefCls/default.jpg,120,360,https://i.ytimg.com/vi/4orvzxefCls/hqdefault.jpg,480,,,,180,https://i.ytimg.com/vi/4orvzxefCls/mqdefault.jpg,320,480.0,https://i.ytimg.com/vi/4orvzxefCls/sddefault.jpg,640.0,"[데스런 여자 홈트레이닝] 8가지 베이직 동작설명(스쿼트,런지,데드리프트,벤트오버로우,숄더프레스,푸쉬업,크런치,레그레이즈)",8,5,0,439,102461
